GeneID	GSM8122035	GSM8122036	GSM8122037	GSM8122038	GSM8122039	GSM8122040	GSM8122042	GSM8122043	GSM8122044	GSM8122045	GSM8122046	GSM8122047	GSM8122048	GSM8122049	GSM8122050
406975	2.544	11.08	9.463	18.31	62.63	19.2	22.99	88.07	77.37	19.12	76.37	10.01	19.82	26.83	40.79
107986121	0	0	0	0	0.09718	0	0	0	0	0.0445	0	0	0	0.03247	0
4710	17.04	27.89	24.32	24.2	39.92	32.96	29.61	31.74	38.66	31.27	36.38	46.38	30.41	34.45	27.47
3081	22.21	57.52	110.9	73.99	339	97.23	95.55	36.73	53.25	96.62	47	74.91	14.69	177.8	105.5
285282	1.299	1.911	2.243	3.577	3.362	3.467	6.123	4.163	4.384	2.865	4.088	6.034	3.518	5.198	5.678
2960	1.314	2.188	2.469	2.839	2.19	2.083	2.822	4.9	4.485	3.465	5.395	5.837	2.537	2.816	5.035
101926983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105374069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100847043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10721	0.01801	0.01743	0	0.235	0.02274	0.03399	0.6614	0.02398	0.01336	0.02083	0.1383	0.07085	0.2051	0	0.1685
503582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51725	0	0	0.02587	0.02504	0.07025	0.0175	0.03143	0	0	0	0	0.03648	0.008338	0.02347	0
3059	15.41	16.09	10.24	18.6	22.34	22.06	18.43	19.87	38.12	19.45	26.37	13.32	27.48	20.27	22.93
2804	12.24	12.87	17.05	12.74	10.76	6.881	9.721	8.308	9.479	11.33	7.212	6.81	10.36	11.89	13.29
9657	6.594	5.667	6.29	7.362	3.78	4.876	4.108	7.439	8.29	4.482	6.009	9.161	7.643	5.052	7.312
55840	0.5789	0.8039	0.2633	0.4077	0.143	0.3799	0.4479	0.2513	0.6161	0.502	0.369	0.8745	2.421	0.3822	1.143
6565	2.418	0.9351	0.7138	0.2977	0.4177	0.3995	0.329	0.6872	0.5105	0.8416	0.3696	0.6247	0.4125	0.1898	0.7899
286676	0	0.08306	0.0399	0.1545	0.1083	0.05397	0.1212	0.1143	0.09549	0.02481	0.1198	0.15	0.09001	0	0.03823
101927010	0.1423	0.0413	0	0	0	0	0	0	0.1266	0	0.05958	0.1492	0.02558	0	0
942	0.4136	0.6526	0.6521	2.5	1.124	1.595	1.828	1.436	3.081	2.276	2.937	1.391	4.672	1.524	2.643
846	0.1782	0.09408	0.0904	0.0164	0.09971	0.07642	0.02059	0.008089	0.05408	0.0562	0.07634	0.06373	0.02185	0.041	0.03789
1475	3.675	4.001	1.774	9.348	3.078	9.067	25.87	5.645	18.56	5.147	9.176	18.62	23.76	5.812	5.477
131076	12.89	19.28	16.47	29.04	39.53	19.69	40.19	19.18	21.48	19.46	15.8	41.25	23.13	24.06	22
26355	10.22	16.03	23.72	17.16	39.57	21.62	27.47	13.97	12.57	22.14	12.37	14.41	15.44	19.55	12.78
54554	2.631	3.15	1.617	3.702	2.219	1.694	2.789	1.992	2.747	2.357	3.212	4.136	2.365	1.862	3.232
102723582	0	0	0.7086	0.5714	0.962	0.3195	0.4304	0.1691	0.7537	0.4405	0.5319	0	0.2283	0.8571	0.2263
3836	7.141	6.932	11.32	10.09	11.03	11.3	10.32	15.18	11.5	10.38	10.48	13.73	12.8	18.32	14.88
107984000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105374071	0.6785	0.8814	0.8219	2.675	2.029	1.853	3.344	0.6597	1.768	1.874	1.702	0.7024	0.8669	1.717	1.825
83666	11.5	9.449	12.18	16.03	17.82	16.29	24.25	8.276	20.74	20.58	19.94	6.848	9.091	15.21	17.78
151636	11.28	11.28	17.45	17.23	17.83	19.37	24.98	22.05	26.33	23.73	27.3	22.29	16.23	17.2	28.23
165631	0.3111	0.7137	0.5903	0.9324	0.9309	0.3875	2.194	0.3728	0.5816	0.7123	0.4301	0.6364	0.5203	0.3858	0.7484
54625	4.915	6.59	9.939	20.34	10.4	9.36	14.41	9.123	17.07	12.93	14.74	12.85	13.23	10.93	14.58
79663	2.522	2.577	1.918	1.797	2.665	1.164	2.073	2.486	2.698	1.051	2.403	4.286	3.095	1.657	1.128
84925	0.6155	0.9088	1.121	1.091	1.284	0.935	1.485	2.834	1.637	0.9771	1.464	3.591	2.073	1.274	1.171
100129550	0.2672	0.3361	0.6087	0.4207	0.7083	0.3024	0.5584	0.8359	0.7729	0.4633	0.5595	0.5722	0.4163	0.586	0.4522
54437	0.1504	0.05745	0.0552	0.1068	0.4197	0.224	0.3085	0.03161	0.05284	0.1784	0.1989	0.08302	0.01423	0.1803	0.03173
112268448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10954	57.37	54.23	59.06	81.82	100.3	85.32	75.96	55.12	68.21	88.91	58.28	39.18	60.83	71.33	77.08
102465667	16.51	26.63	17.91	8.252	13.89	10.38	8.288	4.884	8.163	20.15	11.52	19.24	9.893	10.83	13.07
26984	1.874	2.511	2.758	2.891	2.593	2.778	3.525	2.941	2.796	2.643	3.407	5.684	3.555	2.489	3.935
111	0.7932	0.9998	0.5575	0.8881	1.525	2.285	1.021	1.068	0.862	1.109	1.674	0.6772	0.3151	1.074	0.8216
201562	3.996	6.124	10.99	7.127	10.16	13.02	14.8	14.59	11.16	9.928	12.08	13.69	5.153	16.41	13.77
100506826	0.7857	0.7605	1.461	2.74	7.935	7.042	4.882	3.269	6.703	6.586	5.622	1.545	0.5298	4.722	4.55
4638	2.412	3.475	3.391	5.129	13.77	9.744	11.55	3.776	11.01	12.72	7.499	3.492	2.671	8.002	9.962
100873940	0	0	0.1467	0.1419	0	0	0.1782	0	0	0	0.2202	0.1379	0	0.2661	0.281
105369194	0.06767	0.1474	0.1982	0.338	0.5125	0.332	0.539	0.1622	0.256	0.4812	0.1417	0.1597	0.02433	0.3425	0.1899
64770	5.89	6.928	4.18	6.286	4.9	2.729	12.03	3.545	4.989	4.918	4.671	12.42	3.197	3.457	5.445
54763	0	0	0	0.03994	0	0	0.1003	0	0	0.02566	0.03098	0	0	0	0.01977
8997	0.5845	0.8701	1.528	1.432	3.106	1.284	2.253	1.094	1.493	1.574	1.333	1.423	0.8005	1.248	0.8734
100847021	0	0	0	0	0	0	0	1.083	0	0	0	0	0	0	0
105374077	0	0	0	0	0	0	0	0.1334	0	0	0	0	0	0	0.1785
102464832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107986123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105374076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7372	2.263	2.743	6.396	3.77	4.709	6.594	6.036	7.74	5.933	5.737	5.599	6.09	7.103	6.302	6.406
100422864	0	0	0	0	0	0	0	0	0	0	0	0	0	1.706	0.9007
3693	5.908	13.79	13.6	11.81	22.87	26.52	20.02	21.27	30.91	26.99	41.05	17.52	13.35	15.55	28.04
56667	0.09131	1.326	0.8406	0.2465	0.1383	0.7925	0.6499	7.586	1.422	0.2534	1.186	8.956	0.903	0.855	17.99
57493	1.196	1.608	1.46	3.543	3.167	3.322	3.05	4.977	3.13	2.535	3.038	4.451	3.072	2.866	7.681
84561	6.357	4.083	4.423	1.555	5.495	10.78	8.593	7.946	7.157	3.787	7.487	9.63	2.165	4.031	7.535
100847039	0	0	0.8334	0	0	0	0	0	0	0	0	0	0	0	0
7707	1.025	1.391	2.952	2.097	1.988	1.438	3.53	2.296	2.503	2.203	2.347	3.337	1.723	3.721	3.173
105374080	0	0.07765	0	0	0	0	0	0	0	0	0	0.1052	0	0	0
105374081	0	0	0.4642	0	0	0	0	0	0.1481	0	0	0	0	0	0
8723	6.617	10.98	21.41	27.2	25.6	20.49	33.92	20.69	28.92	21.63	18.53	18.7	20.65	32.93	31.23
114885	7.055	3.154	5.87	5.695	6.799	7.983	7.015	15.23	17.81	6.703	7.975	8.381	6.476	17.84	10.22
105374312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100302204	0	0	0	0	0	0	0.598	0	0	0	0	0	0	0	0
101927056	1.849	1.726	0.4607	0.8024	1.126	0.3739	2.015	0.2638	0.735	0.5728	1.245	0.6062	0.5344	0.1672	0.3531
102723696	0.08519	0.1237	0.02377	0.253	0.3872	0.225	1.039	0.2042	0.3791	0.08864	0.2141	0.02234	0.07658	0.3018	0.2732
100125556	0.1288	0.187	0.03593	0.2434	0.3415	0.3888	1.048	0.2058	1.147	0.3127	1.511	0.9795	0.44	0.2282	0.3442
200810	0.05296	0.03845	0.02463	0.03575	0.117	0.04997	0.2992	0.01763	0.1768	0.03062	0.5731	0.162	0.07936	0.03351	0.05898
152015	0	0.1289	0.1239	0.1199	0.1682	1.173	0.4515	0	0	0.231	0.465	0	0	0.1124	0.4747
54946	2.134	2.708	2.133	2.132	4.518	4.819	5.04	6.611	8.002	3.876	8.657	9.033	3.339	4.252	3.84
105374085	0.4256	1.067	0.7016	1.044	1.978	0.803	1.836	0.3863	0.9471	1.006	0.8102	1.065	0.313	1.077	1.499
112267887	0.2099	0.4063	0.3416	0.1889	0.5299	0.132	0.3557	0.2096	0.5449	0.2427	0.4396	0.6421	0.03145	0.1771	0.4207
10840	12.15	13.74	65	31.41	177.8	55.94	75.17	3.962	44.41	52.3	25.29	18.73	16.64	110.8	11.25
100874204	22.98	25.68	58.74	27.28	139.2	30.19	60.96	2.883	38.29	41.52	15.87	32.97	24.45	89.21	8.36
105374083	0.0735	0	0.06835	0	0.1392	0.04623	0.1661	0	0.2726	0	0	0	0	0.341	0.06548
100862662	0.09049	0.3284	2.177	1.252	9.339	2.561	2.684	0.2259	2.316	2.472	0.8055	0.356	0.2441	3.951	0.6953
107986124	0.08521	0.06186	0.1387	0.3834	2.286	0.2412	0.9387	0.05673	0.1896	0.2217	0.119	0.4283	0.02554	0.3774	0.09489
28999	12.97	12.98	11.29	8.669	24.09	22.02	14.83	10.72	22.38	25.61	11.94	6.084	1.782	13.92	9.876
105374088	0	0	0.1423	0.1836	0.1932	0.06417	0.2882	0	0.3027	0.05898	0	0.1338	0.03057	0.04303	0.04544
107986044	0	0	0	0	0.438	0	0	0	0	0	0	0	0	0	0
100506907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
348807	0.1678	0.1312	0.036	0.1742	0.07332	0.07305	0.06561	0.07732	0.02872	0.1567	0.1081	0.05076	0.03481	0.03266	0.06898
79364	11.81	7.074	12.58	16.12	9.051	12.94	8.315	12.75	13.27	11.28	10.01	9.855	6.833	9.82	8.249
131669	7.496	8.134	10.56	38.49	100.7	23.71	61.32	1.281	2.038	41.51	0.4476	2.142	0.4804	3.381	11.16
166012	2.523	3.305	7.231	5.553	15.68	18.53	10.97	11.12	6.47	10.46	21.71	4.064	2.047	5.449	4.361
152065	0.03713	0.01078	0.0725	0.1403	0.05624	0.3502	0.2391	0.1779	0.1157	0.09014	0.1244	0.04868	0.006675	0.1221	0.04961
105374090	0.9797	0.4741	0.2278	1.102	0.6184	1.849	0.2767	0	0	0	0	0.2141	0.1468	0.2066	0.8728
114112	1.769	1.94	2.367	3.485	4.855	5.417	4.957	2.56	5.304	3.507	2.571	3.456	3.441	3.815	4.126
255330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84303	0.1527	0.194	0.2077	0.2423	0.3832	0.3458	0.4918	0.3966	0.3994	0.3907	0.3919	0.4907	0.4291	0.2126	0.2296
5361	1.388	1.257	1.952	1.788	1.564	2.727	2.245	6.792	3.357	2.486	4.516	8.347	1.382	1.401	3.134
285311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100419008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101927123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105374094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101927149	0	0	0	0	0	0	0	0	0	0	0	0	0.03843	0	0
107986125	0.03916	0	0.1275	0.01762	0	0.07389	0.04424	0.07821	0.08714	0.04528	0.08201	0.05134	0.07041	0.01652	0.05233
131601	3.87	3.192	2.854	3.008	4.758	4.702	4.223	6.333	5.298	5.2	7.765	5.552	2.049	3.794	3.912
102466199	0	1.157	1.111	0	3.017	1.503	1.35	3.182	0	1.382	1.668	0	1.432	1.008	0
102465857	0	0	0	0	0	1.503	0	0	0	0	0	2.089	0	0	0
